,precision,recall,f1-score,support
Cargo,0.44,0.005681818181818182,0.011218765935747069,1936.0
Passengership,0.43187066974595845,0.3262102049716529,0.3716770186335404,2293.0
Tanker,0.4925751539297356,0.5466237942122186,0.5181939417031817,2488.0
Tug,0.38091087382872085,0.7313807531380753,0.5009313655251468,2390.0
accuracy,0.4246184253870649,0.4246184253870649,0.4246184253870649,0.4246184253870649
macro avg,0.4363391743761037,0.4024741426259413,0.350505272949404,9107.0
weighted avg,0.43680942320800564,0.4246184253870649,0.3689982897925696,9107.0
